Gender   Height
     0       63
     0       62
     1       69
     0       68
     1    71.65
     1       75
     1  68.8976
     1       74
     0       65
     0     64.0
     0     65.0
     0       64
     0       67
     1       69
     1       68
     0       67
     0  68.8976
     0     62.6
     1       70
     0       69
     0       65
     0       63
     1     67.3
     0     64.2
     0       63
     1       61
     1       67
     1       71
     0       61
     0       61
     0    68.11
     0    66.14
     0     67.5
     0       60
     0       67
     0    67.72
     0       66
     1     67.0
     0       70
     0     66.0
     0     64.5
     0       68
     1       69
     1       68
     1     71.0
     1       76
     1  70.8661
     1       66
     0       67
     1       71
     0     62.5
     1     67.0
     1     67.0
     1  67.7165
     0       60
     1       67
     0     68.0
     1       75
     1       65
     1       65
     0       64
     0       62
     1  70.8661
     1       75
     1     71.0
     0       67
     1       72
     0       60
     1       68
     0       64
     1  70.8661
     1  70.8661
     1     73.0
     1     75.4
     0       68
     1       70
     1       69
     0       63
     0       62
     1       73
     1       72
     0       68
     0       61
     0       60
     1       65
     0       63
     1       67
     0       69
     1       74
     0       68
     1       70
     1       73
     1       70
     0       60
     0       66
     0       68
     1     67.0
     1       65
     1       71
     0     70.0
     1       65
     1  72.8346
     0       60
     1     70.0
     1       70
     0       65
     1     70.0
     1       70
     0     67.7
     0       62
     1     69.0
     1     69.0
     0     62.0
     1       74
     1     71.0
     0       70
     1       64
     1       73
     1       70
     1       66
     1       66
     1       68
     0       62
     0       66
     0       64
     1       67
     1       71
     1       78
     1       69
     0       67
     1       70
     0       65
     1       70
     1   65.748
     1       71
     1       68
     0       67
     1  66.1417
     0       64
     1       68
     0       60
     0       64
     1     73.2
     1       72
     1       71
     0       67
